"Україна","Пшениця озима","Центнер","309334.9","302242.0","308105.6","290842.2","335138.1","296055.8","379645.1","242790.0","251752.8","257477.5","224700.0","0"
"Вінницька","Пшениця озима","Центнер","37783.5","47442.899999999994","36279.700000000004","35603.1","39148.1","28904.6","37812.9","27004.1","40188.6","37795.0","0","0"
"Волинська","Пшениця озима","Центнер","12879.5","13180.399999999998","13695.599999999999","13419.099999999999","14445.1","14647.199999999997","14350.2","14546.099999999999","13748.8","13525.300000000003","0","0"
"Дніпропетровська","Пшениця озима","Центнер","44205.4","32800.4","38972.9","34404.6","43072.5","44091.5","55915.8","38064.8","38580.6","35572.3","0","0"
"Донецька","Пшениця озима","Центнер","22212.100000000002","25933.8","26867.800000000003","19560.5","29278.4","30145.899999999998","34046.8","8616.0","2608.8","2379.3","0","0"
"Житомирська","Пшениця озима","Центнер","9899.8","11612.3","10440.7","11384.1","13398.5","11841.9","14193.5","12028.6","10929.800000000001","9833.0","0","0"
"Закарпатська","Пшениця озима","Центнер","2344.3","2150.7","1855.5","1678.0","1870.7","1728.3999999999999","1608.3","1836.0","1643.8","1682.7","0","0"
"Запорізька","Пшениця озима","Центнер","43054.2","37038.7","45231.5","36032.7","52405.6","45408.899999999994","59618.0","11546.4","7161.3","7297.500000000001","0","0"
"Івано-Франківська","Пшениця озима","Центнер","6171.2","5677.9","5478.0","6197.8","5163.8","5274.6","4524.4","5217.8","4974.7","6018.4","0","0"
"Київська","Пшениця озима","Центнер","19746.1","21307.5","14412.4","17483.0","19737.2","15334.900000000001","21174.0","15562.9","20380.3","20502.3","0","0"
"Кіровоградська","Пшениця озима","Центнер","24893.3","24728.800000000003","19830.8","23805.399999999998","31225.2","25300.899999999998","42014.9","35756.2","36713.3","33790.2","0","0"
"Луганська","Пшениця озима","Центнер","14200.399999999998","17475.0","21053.800000000003","17872.9","22779.1","23288.8","24718.0","2918.0","1165.8","1064.2","0","0"
"Львівська","Пшениця озима","Центнер","15125.6","15033.2","14051.9","14275.7","16136.0","14857.1","15700.500000000002","17450.1","16522.9","18447.8","0","0"
"Миколаївська","Пшениця озима","Центнер","31518.699999999997","26707.2","31127.2","30069.6","35584.7","25531.9","45651.0","28424.4","34753.0","33130.7","0","0"
"Одеська","Пшениця озима","Центнер","40333.399999999994","46616.2","50298.100000000006","51936.3","44088.2","20856.1","58020.7","38546.600000000006","53296.0","61502.600000000006","0","0"
"Полтавська","Пшениця озима","Центнер","26863.5","23813.899999999998","20120.2","21319.600000000002","23457.2","22031.100000000002","26182.300000000003","23991.199999999997","25312.899999999998","25897.500000000004","0","0"
"Рівненська","Пшениця озима","Центнер","8772.1","8860.8","9098.9","8958.9","10125.3","9550.2","10591.3","9868.699999999999","9165.3","9075.4","0","0"
"Сумська","Пшениця озима","Центнер","22681.100000000002","19501.2","21372.3","19149.1","18793.800000000003","19499.199999999997","19551.8","21128.7","16461.6","18850.699999999997","0","0"
"Тернопільська","Пшениця озима","Центнер","19353.5","20952.399999999998","21032.5","20242.4","22426.9","20115.0","22101.7","22294.1","23539.300000000003","23721.5","0","0"
"Харківська","Пшениця озима","Центнер","46459.0","43473.1","47542.9","38213.4","49213.9","58983.9","61377.700000000004","30408.6","20788.2","29760.9","0","0"
"Херсонська","Пшениця озима","Центнер","37554.899999999994","27153.699999999997","35384.600000000006","32049.4","35739.6","34221.7","45263.5","1379.1","469.3","1868.3","0","0"
"Хмельницька","Пшениця озима","Центнер","24583.8","27730.1","26729.5","25816.5","30010.3","22616.5","27708.0","26710.0","29661.1","30257.499999999996","0","0"
"Черкаська","Пшениця озима","Центнер","26687.6","25513.6","15343.3","20212.7","22739.8","16598.5","25828.0","20978.2","24638.6","22269.3","0","0"
"Чернівецька","Пшениця озима","Центнер","4155.0","3705.7","3959.7","3746.9","4174.6","3044.4","3538.5000000000005","2962.5","3412.1000000000004","3464.7000000000003","0","0"
"Чернігівська","Пшениця озима","Центнер","15457.699999999999","17316.5","18557.8","16115.1","17554.2","16020.1","18834.4","17123.9","19802.699999999997","22016.100000000002","0","0"
